API Field Name,Group,Common Name,Type,Query,Description
#app_number,applications,Number,string,Y,Application ID assigned by USPTO
#app_type,applications,Type,string,Y,"Patent Application Type (From XML data dictionary). 02 through 28 = Utility application; 29, D = Design application; 60 = Provisional application; 90 = Reexamination request"
#app_country,applications,Country,string,Y,"Country in which patent application was filed, always U.S."
#app_date,applications,Filing Date,date,Y,Date the patent application was filed (filing date)
#assignee_location_id,assignees,Location ID,string,Y,Unique database ID for the assignee's location as listed on the patent
#assignee_longitude,assignees,Longitude,float,N,Longitude for assignee's location a listed on the patent
#assignee_num_patents_for_inventor,assignees,Number of patents for Inventor,integer,Y,"Number of patents in the database for a given assignee and the selected inventor (as indicated by unique assignee_id and unique inventor_id, respectively)"
#assignee_lastknown_longitude,assignees,Last Known Longitude,float,N,"Longitude for assignee's location as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
#assignee_lastknown_state,assignees,Last Known State,string,Y,"Assignee's state as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
#assignee_latitude,assignees,Latitude,float,N,Latitude for assignee's location as listed on the patent
#assignee_total_num_inventors,assignees,Total Number of Inventors,integer,Y,Total number of inventors in database for a given assignee (as indicated by unique assignee_id)
#assignee_total_num_patents,assignees,Total Number of Patents,integer,Y,Total number of patents in database for a given assignee (as indicated by unique assignee_id)
#assignee_type,assignees,Type,string,Y,"Classification of assignee. 2 - US Company or Corporation, 3 - Foreign Company or Corporation, 4 - US Individual, 5 - Foreign Individual, 6 - US Government, 7 - Foreign Government, 8 - Country Government, 9 - State Government (US). Note: A ""1"" appearing before any of these codes signifies part interest"
#assignee_organization,assignees,Organization,string,Y,"Organization name, if assignee is organization"
#assignee_state,assignees,State,string,Y,Assignee's state as listed on the patent
#assignee_state_fips,assignees,State FIPS code,string,Y,FIPS code of the assignee's state associated with their location_id on a given patent (only US)
#assignee_lastknown_location_id,assignees,Last Known Location ID,string,Y,"Unique database ID for the assignee's location on their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
#assignee_county_fips,assignees,County FIPS code,string,Y,FIPS code of the assignee's county associated with their location_id on a given patent (only US)
#assignee_first_name,assignees,First Name,string,Y,"First name, if assignee is individual"
#assignee_first_seen_date,assignees,First Seen Date,date,Y,Earliest patent grant date for all of an asisgnee's patents in the database
#assignee_city,assignees,City,string,Y,Assignee's city as listed on the patent
#assignee_country,assignees,Country,string,Y,Assignee's country as listed on the patent
#assignee_county,assignees,County,string,Y,Assignee's county associated with their location_id on a given patent (only US)
#assignee_lastknown_city,assignees,Last Known City,string,Y,"Assignee's country as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
#assignee_lastknown_country,assignees,Last Known Country,string,Y,"Assignee's city as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
#assignee_lastknown_latitude,assignees,Last Known Latitude,float,N,"Latitude for assignee's location as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
#assignee_id,assignees,ID,string,Y,Unique database assignee ID assigned by disambiguation algorithm
#assignee_last_name,assignees,Last Name,string,Y,"Last name, if assignee is individual"
#assignee_last_seen_date,assignees,Last Seen Date,date,Y,Most recent patent grant date for all of the asisgnee's patents in the database
#coinventor_lastknown_location_id,coinventors,Last Known Location ID,string,Y,"Unique database ID for the coinventor's city as of their most recent patent grant date (equivalently, as of coinventor_last_seen_date)"
#coinventor_lastknown_latitude,coinventors,Last Known Latitude,float,N,"Latitude of coinventor's city as of their most recent patent grant date (equivalently, as of coinventor_last_seen_date)"
#coinventor_lastknown_country,coinventors,Last Known Country,string,Y,"Coinventor's country as of their most recent patent grant date (equivalently, as of coinventor_last_seen_date)"
#coinventor_lastknown_longitude,coinventors,Last Known Longitude,float,N,"Longitude of coinventor's city as of their most recent patent grant date (equivalently, as of coinventor_last_seen_date)"
#coinventor_total_num_patents,coinventors,Total Number of Patents,integer,Y,Total number of patents in the database for a given coinventor (as indicated by unique coinventor_id)
#coinventor_num_patents_for_inventor,coinventors,Number of patents for Inventor,integer,N,"Total number of patents in the database for a given coinventor with the selected inventor (as indicated by unique coinventor_id and unique inventor_id, respectively)"
#coinventor_lastknown_state,coinventors,Last Known State,string,Y,"Coinventor's state as of their most recent patent grant date (equivalently, as of coinventor_last_seen_date)"
#coinventor_lastknown_city,coinventors,Last Known City,string,Y,"Coinventor's city as of their most recent patent grant date (equivalently, as of coinventor_last_seen_date)"
#coinventor_first_name,coinventors,First Name,string,Y,First name of the coinventor
#coinventor_country,coinventors,Country,string,Y,Coinventor's country as listed on the patent
#coinventor_city,coinventors,City,string,Y,Coinventor's city as listed on the patent
#coinventor_first_seen_date,coinventors,First Seen Date,date,Y,Grant date of coinventor's earliest patent
#coinventor_last_seen_date,coinventors,Last Seen Date,date,Y,Grant date of coinventor's most recent patent in the database
#coinventor_last_name,coinventors,Last Name,string,Y,Last name of the coinventor
#coinventor_id,coinventors,ID,string,Y,Unique ID for a coinventor assigned by disambiguation algorithm
#coinventor_longitude,coinvetnros,Longitude,float,N,Longitude of coinventor's city as lited on the selected patent
#coinventor_location_id,coinvetnros,Location ID,string,Y,Unique database ID for the coinventor's city as listed on the selected patent
#coinventor_latitude,coinvetnros,Latitude,float,N,Latitude of coinventor's city as listed on the selected patent
#cpc_subsection_id,cpcs,Subsection ID,string,Y,CPC subsection ID
#cpc_subgroup_title,cpcs,Subgroup Title,string,Y,Description of CPC subgroup
#cpc_subgroup_id,cpcs,Subgroup ID,string,Y,CPC subgroup ID
#cpc_subsection_title,cpcs,Subsection Title,string,Y,Description of CPC subsection
#cpc_total_num_patents,cpcs,Total Number of Patents,integer,Y,Total number of patents within a CPC subsection
#cpc_total_num_inventors,cpcs,Total Number of Inventors,integer,Y,Total number of unique inventors on patents within a CPC subsection
#cpc_total_num_assignees,cpcs,Total Number of Assignees,integer,Y,Total number of unique assignees on patents within a CPC subsection
#cpc_group_id,cpcs,Group ID,string,Y,CPC group ID
#cpc_first_seen_date,cpcs,First Seen Date,date,Y,Grant date of the earliest patent in the database within a CPC subsection.
#cpc_category,cpcs,Category,string,Y,Top Level Cooperative Patent Classification (CPC) category (http://www.cooperativepatentclassification.org/index.html)
#cpc_group_title,cpcs,Group Title,string,Y,Description of CPC group
#cpc_section_id,cpcs,Section ID,string,Y,"CPC section ID (A = Human Necessitites, B = Performing Operations; Transporint, C = Chemistry; Metallurgy, D = Textiles; paper, E = Fixed Constructing, F = Mechanical Engineering; Lighting; Heating; Weapons; Blasting Engines; Pumps, G = Physics, H = Electricity, Y = General Tagging of new technological developments)"
#cpc_num_patents_for_inventor,cpcs,Number of Patents for CPC Subsection,integer,Y,Number of patents within a CPC subsection for a given inventor
#cpc_last_seen_date,cpcs,Last Seen Date,date,Y,Grant date of the most recent patent in the database within a CPC subsection
#examiner_last_name,examiners,Last name,string,Y,Last name of examiner
#examiner_role,examiners,Role,string,Y,Specifies the role of the examiner on the patent (either primary or assistant examiner)
#examiner_group,examiners,Group,string,Y,"Art unit, tech center, industry sector, or other grouping of the USPTO examiners"
#examiner_first_name,examiners,First name,string,Y,First name of examiner
#examiner_id,examiners,ID,string,Y,Unique database examiner ID (not currently disambiguated)
#forprior_docnumber,foreign_priority,Document number,string,Y,Foreign patent application number
#forprior_kind,foreign_priority,Kind,string,Y,"Kind of foreign priority document (international, national, regional)"
#forprior_sequence,foreign_priority,Sequence,int,Y,Order in which foreign priority documents appear in patent file
#forprior_country,foreign_priority,Country,string,Y,Country in which patent was originally filed
#forprior_date,foreign_priority,Date,date,Y,Date at which patent was originally filed
#govint_org_level_three,gov_interests,Third Level Government Organization,string,Y,"The third-level U.S. government organization name related to the organization reported in the government interest statement on patents (if available). For example, the National Institute for Occupational Safety and Health is third-level in relation to the Centers for Disease Control and Prevention that report to the U.S. Department of Health and Human Services."
#govint_org_level_two,gov_interests,Second Level Government Organization,string,Y,"The second-level U.S. government organization name related to the organization reported in the government interest statement on patents (if available). For example, the National Institutes of Health is second-level in relation to the National Heart, Lung, and Blood Institute."
#govint_raw_statement,gov_interests,Government Interest Statement,full text,Y,The full government interest statement as reported on a given patent (if available).
#govint_org_name,gov_interests,Organization Name,string,Y,Name of the U.S. government organization reported in the government interest statement on patents (if available).
#govint_contract_award_number,gov_interests,Contract/Award Number,string,Y,Contract or award number as reported in the government interest statement on patents (if available)
#govint_org_id,gov_interests,Organization ID,integer,Y,Organization ID of the U.S. government agency reported in the government interest statement on patents (if available)
#govint_org_level_one,gov_interests,Top Level Government Organization,string,Y,"The top-level U.S. government organization name related to the organization reported in the government interest statement on patents (if available). For example, the National Institutes of Health report to the U.S. Department of Health and Human Services."
inventor_lastknown_latitude,inventors,Last Known Latitude,float,N,"Latitude of inventor's city as of  their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
inventor_lastknown_country,inventors,Last Known Country,string,Y,"Inventor's country as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
inventor_lastknown_city,inventors,Last Known City,string,Y,"Inventor's city as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
#inventor_lastknown_location_id,inventors,Last Known Location ID,string,Y,"Unique database ID for the inventor's location as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
inventor_total_num_patents,inventors,Total Number of Patents,integer,Y,Total number of patents in the database for a given inventor (as indicated by unique inventor_id)
inventor_lastknown_state,inventors,Last Known State,string,Y,"Inventor's state as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
inventor_lastknown_longitude,inventors,Last Known Longitude,float,N,"Longitude of inventor's city as of  their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
inventor_id,inventors,ID,string,Y,Unique database inventor ID  by disambiguation algorithm
#inventor_first_seen_date,inventors,First Seen Date,date,Y,Earliest patent grant date for all the inventor's patents in the database
#inventor_first_name,inventors,First Name,string,Y,First name of inventor
#inventor_last_seen_date,inventors,Last Seen Date,date,Y,Most recent patent grant date for all the inventor's patents in the database
#inventor_last_name,inventors,Last Name,string,Y,Last name of inventor
#inventor_key_id,inventors,Inventor key id,string,N,Special identifier used as the default sort field for the inventor query. This field may be deprecated in a future version.
#ipc_subgroup,ipcs,Subgroup,string,Y,Subdivisions of IPC main group
#ipc_subclass,ipcs,Subclass,string,Y,Subdivisions IPC class
#ipc_section,ipcs,Section,string,Y,"Highest hierarchical levels of the IPC corresponding to broad technical fields ( A = Human Necessitites, B = Performing Operations; Transporint, C = Chemistry; Metallurgy, D = Textiles; paper, E = Fixed Constructing, F = Mechanical Engineering; Lighting; Heating; Weapons; Blasting Engines; Pumps, G = Physics, H = Electricity)"
#ipc_symbol_position,ipcs,Position,string,Y,"First or later position of symbols. The position of the first invention information classification can be recognized by this field. The letters ""F"" and ""L"" are used for the first and later position, respectively."
#ipc_version_indicator,ipcs,Version Indicator,date,N,The version of the IPC classification system
#ipc_total_num_inventors,ipcs,Total Number of Inventors,integer,Y,Total number of unique inventors on patents within an IPC class
