Skip,API Field Name,Group,Common Name,Type,Query,Description
true,appcit_kind,application_citations,Kind,string,Y,Patent kind of application cited by patent
true,appcit_sequence,application_citations,Sequence,integer,N,Order in which a citation is cited by patent
true,appcit_date,application_citations,Filing Date,date,Y,Filing date for application cited in the selected patent
true,appcit_app_number,application_citations,Application Number,string,Y,Application ID (issued by USPTO) for application cited by the selected patent
true,appcit_category,application_citations,Category,string,Y,Entity that cited an application in the selected patent
true,app_number,applications,Number,string,Y,Application ID assigned by USPTO
true,app_type,applications,Type,string,Y,"Patent Application Type (From XML data dictionary). 02 through 28 = Utility application; 29, D = Design application; 60 = Provisional application; 90 = Reexamination request"
true,app_country,applications,Country,string,Y,"Country in which patent application was filed, always U.S."
true,app_date,applications,Filing Date,date,Y,Date the patent application was filed (filing date)
true,assignee_location_id,assignees,Location ID,string,Y,Unique database ID for the assignee's location as listed on the patent
true,assignee_longitude,assignees,Longitude,float,N,Longitude for assignee's location a listed on the patent
true,assignee_organization,assignees,Organization,string,Y,"Organization name, if assignee is organization"
true,assignee_lastknown_longitude,assignees,Last Known Longitude,float,N,"Longitude for assignee's location as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
true,assignee_lastknown_state,assignees,Last Known State,string,Y,"Assignee's state as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
true,assignee_latitude,assignees,Latitude,float,N,Latitude for assignee's location as listed on the patent
true,assignee_total_num_inventors,assignees,Total Number of Inventors,integer,Y,Total number of inventors in database for a given assignee (as indicated by unique assignee_id)
true,assignee_total_num_patents,assignees,Total Number of Patents,integer,Y,Total number of patents in database for a given assignee (as indicated by unique assignee_id)
true,assignee_type,assignees,Type,string,Y,"Classification of assignee. 2 - US Company or Corporation, 3 - Foreign Company or Corporation, 4 - US Individual, 5 - Foreign Individual, 6 - US Government, 7 - Foreign Government, 8 - Country Government, 9 - State Government (US). Note: A ""1"" appearing before any of these codes signifies part interest"
true,assignee_sequence,assignees,Sequence,integer,Y,Order in which assignee appears on the patent
true,assignee_state,assignees,State,string,Y,Assignee's state as listed on the patent
true,assignee_state_fips,assignees,State FIPS code,string,Y,FIPS code of the assignee's state associated with their location_id on a given patent (only US)
true,assignee_lastknown_location_id,assignees,Last Known Location ID,string,Y,"Unique database ID for the assignee's location on their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
true,assignee_county_fips,assignees,County FIPS code,string,Y,FIPS code of the assignee's county associated with their location_id on a given patent (only US)
true,assignee_first_name,assignees,First Name,string,Y,"First name, if assignee is individual"
true,assignee_first_seen_date,assignees,First Seen Date,date,Y,Earliest patent grant date for all of an asisgnee's patents in the database
true,assignee_city,assignees,City,string,Y,Assignee's city as listed on the patent
true,assignee_country,assignees,Country,string,Y,Assignee's country as listed on the patent
true,assignee_county,assignees,County,string,Y,Assignee's county associated with their location_id on a given patent (only US)
true,assignee_lastknown_city,assignees,Last Known City,string,Y,"Assignee's country as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
true,assignee_lastknown_country,assignees,Last Known Country,string,Y,"Assignee's city as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
true,assignee_lastknown_latitude,assignees,Last Known Latitude,float,N,"Latitude for assignee's location as of their most recent patent grant date (equivalently, as of assignee_last_seen_date)"
true,assignee_id,assignees,ID,string,Y,Unique database assignee ID assigned by disambiguation algorithm
true,assignee_last_name,assignees,Last Name,string,Y,"Last name, if assignee is individual"
true,assignee_last_seen_date,assignees,Last Seen Date,date,Y,Most recent patent grant date for all of the asisgnee's patents in the database
true,cited_patent_number,cited_patents,Patent Number,string,Y,Patent number of cited patent
true,cited_patent_sequence,cited_patents,Patent Sequence,string,N,Order in which patent is cited by the selected patent
true,cited_patent_title,cited_patents,Patent Title,string,Y,Title of cited patent
